"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"252",28561,6.609,33.671295,-117.673256
"253",28593,14.981,33.723564,-117.8626
"254",28603,20.543,33.943367,-117.40836
"255",28935,5.009,33.639362,-117.87932
"256",28973,21.868,33.94305,-117.99817
"257",29181,15.413,34.037033,-117.36534
"258",29193,2.235,33.63648,-117.828476
"259",29197,3.688,34.185204,-118.8381
"260",29201,23.971,34.041237,-118.23559
"261",29215,11.146,34.072166,-117.749626
"262",29229,15.52,34.114777,-117.74776
"263",29265,14.175,34.240105,-118.64297
"264",29295,31.885,34.13873,-118.260796
"265",29697,2.628,34.23818,-118.528336
"266",30057,7.358,34.10591,-118.317
"267",30391,16.809,33.723373,-118.29684
"268",31399,63.737,34.085285,-117.9609
"269",31511,5.761,34.11631,-117.27381
"270",31533,57.383,33.772484,-118.19539
"271",32339,62.283,34.116642,-118.22908
"272",32599,8.854,34.01707,-118.46499
"273",32961,12.788,33.963356,-118.406586
"274",32969,8.358,34.122124,-118.36022
"275",33005,27.002,34.093456,-117.70546
"276",33235,77.018,33.835808,-118.17562
"277",33247,3.171,33.648296,-117.840996
"278",33621,1.077,34.067856,-118.129295
"279",33855,35.354,34.067482,-118.1384
"280",34461,10.625,33.981903,-118.37517
"281",34481,7.359,33.971844,-118.42094
"282",34495,7.973,33.995514,-118.39796
"283",34517,6.489,34.129498,-118.486015
"284",34653,10.666,34.03891,-118.482315
"285",3487,18.793,34.05437,-118.11611
"286",34873,35.938,34.107765,-118.2163
"287",34877,6.536,34.095253,-118.40884
"288",35005,20.303,34.16927,-118.06915
"289",35027,7.228,34.055313,-118.4213
"290",3537,24.232,33.999382,-117.41601
"291",3586,24.541,33.93592,-118.143265
"292",36115,6.669,34.036472,-118.47561
"293",36143,5.685,34.067047,-118.46885
"294",36359,6.168,34.06109,-118.47584
"295",36537,5.39,34.02837,-118.46067
"296",36575,7.698,33.961536,-118.409134
"297",36587,36.096,34.200916,-118.3237
"298",36717,10.392,34.020527,-118.36168
"299",37043,8.184,34.0123,-118.39391
"300",37193,78.294,33.824867,-118.197
"301",37217,7.248,34.040783,-118.402084
"302",37377,13.25,33.878815,-117.90942
"303",37551,7.245,34.280663,-118.471855
"304",37611,52.335,34.157497,-118.27681
"305",37683,9.871,33.661453,-117.83006
"306",3779,9.745,33.872246,-118.341064
"307",37885,7.375,34.026787,-118.421555
"308",38383,6.493,34.112103,-118.66069
"309",38399,8.047,34.066563,-118.365456
"310",38437,50.341,34.11689,-118.19422
"311",38649,53.504,34.114075,-118.21108
"312",39481,5.719,34.162205,-119.04565
"313",40209,14.387,34.169468,-118.97821
"314",40449,5.801,34.036194,-118.459694
"315",40549,1.615,34.16969,-118.97849
